"Recid","Comname","Comlocation","Recdate","Comsize","Advertising","Visit","Meeting","Tecconsult","Tecresearch","Costoffice","Costtravel","Costentertain","Costbonus","Sales"
"59","xxx","tianjin","2010","middle","0","78.5","0","21.5","0","3449","817","798","1490","375947"
"60","xxx","shanghai","2010","middle","48.7","0","51.3","0","0","4423","762","952","949","385835"
"61","xxx","beijing","2016","middle","0","24.1","28.9","0","47","4434","702","606","1236","449266"
"62","xxx","hebei","2012","small","0","0","0","0","100","527","457","178","820","57780"
"63","xxx","shandong","2013","middle","40.8","0","0","0","59.2","5680","732","813","1396","560118"
"64","xxx","hebei","2015","small","0","79.8","0","20.2","0","2421","326","253","644","150158"
"65","xxx","tianjin","2013","small","0","0","37.9","0","62.1","2527","310","184","970","189316"
"66","xxx","shanghai","2013","small","26.8","36.8","15.8","8.4","12.2","3705","314","203","468","95541"
"67","xxx","tianjin","2019","middle","42.3","0","55.4","0","2.3","3074","822","986","597","597896"
"68","xxx","shanghai","2016","small","20.9","79.1","0","0","0","1026","453","287","228","204262"
"69","xxx","hebei","2021","middle","0","43.3","0","9.5","47.2","3942","942","851","948","266975"
"70","xxx","shandong","2021","middle","0","14.7","0","85.3","0","5368","863","919","599","568410"
"71","xxx","hebei","2013","small","0","0","0","0","100","967","388","161","946","86732"
"72","xxx","shanghai","2018","small","0","0","100","0","0","972","125","117","349","50480"
"73","xxx","beijing","2020","small","0","66.4","33.6","0","0","2002","206","171","344","202447"
"74","xxx","shanghai","2013","small","21.6","0","38.1","23.5","16.8","2003","293","218","246","155752"
"75","xxx","shandong","2011","middle","10.3","11.6","68.1","10","0","3343","898","630","721","569952"
"76","xxx","shanghai","2013","small","100","0","0","0","0","1096","116","108","211","180654"
"77","xxx","hebei","2010","middle","98.7","0","0","1.3","0","5916","935","880","1089","541368"
"78","xxx","beijing","2018","small","15.1","0","0","84.9","0","1743","123","131","501","157607"
"79","xxx","hebei","2010","small","80.3","0","0","19.7","0","3380","152","161","808","198635"
"80","xxx","hebei","2017","middle","0","24.8","0","38.6","36.6","5677","882","757","1227","583183"
"81","xxx","tianjin","2016","middle","0","0","0","0","0","3294","882","856","1251","548099"
"82","xxx","tianjin","2012","middle","4.1","24.7","0","71.2","0","4486","789","922","623","234570"
"83","xxx","tianjin","2011","middle","55.6","0","0","44.4","0","3687","782","963","791","592755"
"84","xxx","hebei","2020","small","0","0","0","0","100","3113","102","205","482","138899"
"85","xxx","shandong","2010","small","34","0","43.1","22.9","0","2525","245","124","403","170663"
"86","xxx","shandong","2011","middle","0","0","76.7","0","23.3","5224","894","667","628","241671"
"87","xxx","beijing","2011","middle","50.5","0","0","0","49.5","4430","727","847","1347","478029"
"88","xxx","shandong","2018","small","15.7","0","16.2","34.7","33.4","917","418","129","631","222133"
"89","xxx","shandong","2017","small","17.7","0","60.6","0","21.7","2556","446","260","673","69625"
"90","xxx","shanghai","2014","middle","37.2","14.3","8.9","35.5","4.1","4662","772","854","543","495398"
"91","xxx","beijing","2018","middle","0","18.8","44.1","12.6","24.5","4621","787","858","679","576649"
"92","xxx","shanghai","2015","middle","0","22.6","76.2","0","1.2","5830","869","873","1395","391879"
"93","xxx","shanghai","2019","small","10.2","0","0","0","89.8","3841","317","273","560","208159"
"94","xxx","shanghai","2018","middle","0","0","0","100","0","3103","870","616","1098","486834"
"95","xxx","shanghai","2010","middle","16.3","0","0","83.7","0","4834","732","934","1427","542451"
"96","xxx","shandong","2016","small","86.6","0","13.4","0","0","3952","447","212","422","203087"
"97","xxx","beijing","2021","middle","67.5","0","0","3.5","29","4538","829","872","1041","281900"
"98","xxx","beijing","2013","small","40.8","0","59.2","0","0","3895","220","186","835","92256"
"99","xxx","beijing","2015","middle","59.8","0","40.2","0","0","5079","915","854","793","249042"
"100","xxx","shandong","2011","small","0","43.8","17.7","20.7","17.9","3950","399","111","656","188364"
"101","xxx","tianjin","2010","middle","0","100","0","0","0","3369","849","642","1321","516980"
"102","xxx","beijing","2019","small","0","0","12.5","83.4","4.1","2540","383","108","464","278084"
"103","xxx","beijing","2011","middle","25.7","39","1.8","33.5","0","4946","887","630","703","561673"
"104","xxx","beijing","2019","middle","31.6","0","3.8","51.1","13.6","3432","962","996","936","240221"
"105","xxx","hebei","2016","middle","35.8","32.7","13.3","18.2","0","4890","902","930","1050","415088"
"106","xxx","beijing","2016","small","0","0","0","65","35","3041","173","270","407","234257"
"107","xxx","shanghai","2019","small","53.6","22.1","0","0","24.3","3833","364","272","984","64890"
"108","xxx","hebei","2012","middle","0","33","0","67","0","3032","733","618","746","540504"
"109","xxx","shanghai","2013","small","26.9","32.3","34.1","0","6.7","513","143","250","754","270473"
"110","xxx","beijing","2010","middle","23.1","37.6","0","3","36.4","5581","824","864","1186","452365"
"111","xxx","tianjin","2011","middle","0","40.2","0","59.8","0","4483","747","992","1318","411528"
"112","xxx","beijing","2019","middle","100","0","0","0","0","4679","784","668","1190","458775"
"113","xxx","shandong","2014","middle","0","80.2","16.8","3","0","4287","877","921","706","523370"
"114","xxx","tianjin","2013","middle","56.6","43.4","0","0","0","3142","889","775","764","531145"
"115","xxx","shanghai","2019","middle","35.3","35.4","0","23.4","5.9","3491","937","824","666","597334"
"116","xxx","beijing","2018","small","0","89.2","0","10.8","0","944","135","254","287","254360"
"117","xxx","tianjin","2012","middle","0.7","30.8","27.2","8.3","33","3274","872","848","1267","485423"
"118","xxx","hebei","2016","middle","0","0","0","100","0","4239","716","718","1314","448174"
"119","xxx","hebei","2014","middle","18.4","27.1","0","0","54.5","5760","809","927","1179","234922"
"120","xxx","shandong","2011","small","0","0","100","0","0","3019","353","175","554","233349"
"121","xxx","tianjin","2011","middle","27.5","12.2","0","22.2","38.1","4478","907","848","1428","249413"
"122","xxx","shandong","2016","small","1.6","0","45.4","0","53","593","221","227","382","57952"
"123","xxx","hebei","2019","small","0","0","0","0","100","3137","477","151","260","248169"
"124","xxx","shandong","2019","middle","0","0","0","0","100","3125","945","989","791","390198"
"125","xxx","shandong","2018","small","6.2","0","0","85","8.8","3882","425","289","715","116776"
"126","xxx","shanghai","2018","middle","3","24.6","19.1","4.8","48.6","3002","831","945","644","266023"
"127","xxx","shanghai","2014","small","100","0","0","0","0","1478","134","202","581","246134"
"128","xxx","hebei","2012","small","29.1","37.3","33.6","0","0","2815","106","283","506","285124"
"129","xxx","beijing","2018","middle","65.4","0","24","0","10.6","3905","782","946","1305","228054"
"130","xxx","tianjin","2018","small","0","38.6","0","47.5","13.9","2516","363","234","206","151429"
"131","xxx","tianjin","2014","middle","40.8","19.9","15.2","14.3","9.8","3454","803","683","793","246505"
"132","xxx","hebei","2012","middle","0","0","92.4","7.6","0","5489","968","987","836","321897"
"133","xxx","shandong","2019","small","0","0","0","68","32","1665","440","177","605","259209"
"134","xxx","tianjin","2019","small","0","3.6","12","24.6","59.9","2471","464","175","353","135154"
"135","xxx","shanghai","2018","middle","0","32.3","13.8","54","0","4579","709","809","875","478567"
"136","xxx","hebei","2016","small","0","0","0","0","100","2518","199","122","417","88224"
"137","xxx","tianjin","2018","middle","55.8","12.8","31.4","0","0","4306","964","770","1019","332435"
"138","xxx","shanghai","2021","middle","0","0","23.4","0","76.6","4523","772","735","929","395166"
"139","xxx","shanghai","2014","small","0","96.9","0","3.1","0","3456","406","214","367","235651"
"140","xxx","shandong","2020","small","87","0","0","13","0","2429","412","107","276","210863"
"141","xxx","tianjin","2015","small","0","92.3","0","7.7","0","1291","445","278","400","114771"
"142","xxx","beijing","2018","small","19.4","29.8","47.8","0","3.1","1065","375","129","360","173637"
"143","xxx","shandong","2012","small","0","0","0","0","100","1274","420","187","911","156818"
"144","xxx","hebei","2018","middle","26.8","73.2","0","0","0","3060","772","984","731","224949"
"145","xxx","tianjin","2013","small","25.3","3.2","0","21.5","50.1","3487","449","288","391","67223"
"146","xxx","tianjin","2015","small","10","25.5","18.1","25.1","21.4","3882","450","202","231","153500"
"147","xxx","hebei","2020","middle","12.5","41.9","0","39.9","5.8","4153","837","895","1286","592959"
"148","xxx","tianjin","2021","small","0","0","0","5.2","94.8","3016","425","172","498","243707"
"149","xxx","shandong","2019","middle","0","0","0","100","0","3102","788","806","926","589868"
"150","xxx","hebei","2017","small","16.8","35.9","18.1","29.2","0","2307","126","195","200","63284"
"151","xxx","tianjin","2020","middle","0","100","0","0","0","4673","894","675","971","319410"
"152","xxx","hebei","2016","small","0","0","100","0","0","3145","458","154","234","238961"
"153","xxx","shanghai","2010","small","9.8","24.9","63.5","0","1.8","2124","368","175","253","65317"
"154","xxx","shandong","2019","small","4.8","58.4","0","0","36.8","2868","282","100","869","232388"
"155","xxx","tianjin","2020","small","0","0","0","0","100","2924","161","215","804","299824"
"156","xxx","hebei","2021","small","0","43.5","56.5","0","0","1292","484","135","848","61251"
"157","xxx","hebei","2010","middle","0","0","47.2","47.8","5","4701","889","900","864","584959"
"158","xxx","shanghai","2010","middle","100","0","0","0","0","5901","751","618","570","477699"
"159","xxx","shandong","2013","small","0","0","0","100","0","1145","299","170","651","142494"
"160","xxx","beijing","2014","middle","22.9","40.2","0","0","36.9","5571","803","621","1465","475500"
"161","xxx","tianjin","2014","middle","0","0","17.4","14.3","68.3","4664","805","958","1359","447997"
"162","xxx","shanghai","2020","small","12.5","0","45.1","42.4","0","3836","445","266","739","227942"
"163","xxx","tianjin","2016","small","0","12.5","45","8.3","34.1","3108","230","149","699","74491"
"164","xxx","shanghai","2016","middle","1.6","65.6","0","32.8","0","5675","805","901","993","397611"
"165","xxx","shandong","2014","middle","34.9","0","0","0","65.1","5601","829","906","1043","536073"
"166","xxx","beijing","2017","small","42.5","0","53.5","3.9","0","2158","467","193","694","138240"
"167","xxx","hebei","2021","middle","59.2","21.1","3.8","15.8","0","5797","881","962","839","551845"
"168","xxx","beijing","2014","small","12.8","31.6","33.5","0","22.1","1929","481","207","703","199838"
"169","xxx","shanghai","2017","small","0","0","0","47.5","52.5","2409","450","168","465","71297"
"170","xxx","shandong","2017","small","0","78.1","0","21.9","0","1971","304","287","932","293485"
"171","xxx","shanghai","2012","small","50.4","0","49.6","0","0","3097","179","247","626","243708"
"172","xxx","hebei","2018","small","0","0","26.7","6.2","67.2","3436","229","103","370","132007"
"173","xxx","shanghai","2019","small","14.2","71","0","14.8","0","1827","359","263","292","135130"
"174","xxx","hebei","2011","small","0","39.1","27.5","33.3","0","1534","372","172","597","299866"
"175","xxx","shandong","2010","small","14.5","0","19","46.2","20.3","2699","333","118","285","95122"
"176","xxx","beijing","2013","middle","46.7","32.3","0","0","21","5902","778","820","1364","359331"
"177","xxx","beijing","2018","middle","0","21","11.5","19.9","47.6","4454","928","780","810","540647"
"178","xxx","hebei","2010","middle","32.3","0","11.3","56.4","0","5164","702","623","653","215074"
"179","xxx","shanghai","2010","small","0","100","0","0","0","642","122","236","345","293143"
"180","xxx","tianjin","2010","middle","0","23.7","0","0","76.3","5186","708","783","1328","341843"
"181","xxx","shanghai","2019","small","55.6","0","13.2","31.1","0","1972","252","100","775","106961"
"182","xxx","tianjin","2016","small","87.6","0","0","12.4","0","3430","497","225","894","296783"
"183","xxx","tianjin","2018","middle","0","100","0","0","0","4230","825","791","733","584366"
"184","xxx","shandong","2011","small","0","0","100","0","0","3980","174","153","988","207330"
"185","xxx","shanghai","2011","small","15.5","10.1","32.9","40.1","1.4","2545","463","255","421","260295"
"186","xxx","beijing","2010","middle","0","6.7","93.3","0","0","5945","921","759","631","486933"
"187","xxx","tianjin","2012","middle","0","0","100","0","0","5284","947","619","552","372957"
"188","xxx","beijing","2011","middle","20.9","5.1","0","74.1","0","3601","795","641","1039","211221"
"189","xxx","shanghai","2014","small","23.2","61.1","7.6","0","8.1","2924","241","215","856","54265"
"190","xxx","tianjin","2017","small","50.8","38.8","0","10.4","0","3805","160","151","613","199949"
"191","xxx","shanghai","2018","small","0","0","0","98.1","1.9","666","136","152","785","140892"
"192","xxx","hebei","2019","small","0","0","100","0","0","3088","255","187","228","284014"
"193","xxx","beijing","2013","middle","0","89.7","0","10.3","0","3875","851","716","1086","283561"
"194","xxx","tianjin","2010","middle","26.1","0","30.2","43.7","0","5166","876","634","817","472330"
"195","xxx","beijing","2014","middle","0","0","74.4","25.6","0","4248","710","928","1121","275455"
"196","xxx","shandong","2011","middle","0","100","0","0","0","5725","866","915","1354","430549"
"197","xxx","hebei","2015","middle","0","54","0","23.6","22.3","5469","801","735","952","228772"
"198","xxx","shandong","2020","middle","40.3","4.9","22.8","9.9","22.2","5425","902","706","830","279926"
"199","xxx","beijing","2019","middle","0","0","9.7","41.7","48.6","5745","879","944","686","331578"
"200","xxx","beijing","2018","middle","43.2","3.3","0","0","53.5","5198","861","853","1258","234351"
"201","xxx","shanghai","2012","small","31.9","0","27.3","20.9","19.9","3797","272","152","838","162302"
"202","xxx","shanghai","2020","small","100","0","0","0","0","2346","400","270","295","209002"
"203","xxx","shandong","2017","small","0","12.5","0","87.5","0","1773","348","126","827","75877"
"204","xxx","shandong","2013","small","10.3","0","0","0","89.7","2727","257","113","625","85753"
"205","xxx","beijing","2018","middle","0","0","0","100","0","5748","825","985","533","593473"
"206","xxx","shandong","2020","small","59.5","40.5","0","0","0","2052","405","151","969","112264"
"207","xxx","shanghai","2011","middle","21.4","45.3","0","33.2","0","3364","744","958","1021","410089"
"208","xxx","beijing","2019","small","0","0","0","0","0","2704","380","263","331","282768"
"209","xxx","shandong","2016","middle","0","0","20.5","0","79.5","3335","764","762","769","501321"
"210","xxx","hebei","2014","small","32.4","18.7","8","13.6","27.2","963","198","253","286","105820"
"211","xxx","beijing","2015","small","0","38.6","5.4","17.4","38.6","3175","430","251","989","79828"
"212","xxx","beijing","2013","small","48.6","0","0","51.4","0","1236","250","297","249","133775"
"213","xxx","beijing","2017","middle","0","0","81.1","0","18.9","5563","712","705","817","506052"
"214","xxx","tianjin","2011","small","13.7","0","49.4","0","36.8","1040","242","134","886","283704"
"215","xxx","beijing","2012","small","17.7","1.6","21.7","59","0","1518","398","251","897","240615"
"216","xxx","hebei","2020","small","30.1","0","0","30.8","39.1","3252","293","134","394","221619"
"217","xxx","shanghai","2019","middle","0","0","0","0","0","4424","845","930","1050","520597"
"218","xxx","shanghai","2010","small","100","0","0","0","0","3208","420","161","307","56958"
"219","xxx","shandong","2015","small","46.6","16","0","6","31.4","1121","486","215","655","102393"
"220","xxx","hebei","2015","small","0","100","0","0","0","2593","494","222","787","55681"
"221","xxx","shandong","2016","middle","0","100","0","0","0","5283","770","757","940","528098"
"222","xxx","beijing","2015","small","52.4","0","35.5","0","12.1","2768","193","270","215","176008"
"223","xxx","tianjin","2020","small","14.6","0","64.9","0","20.5","825","116","106","260","282474"
"224","xxx","shanghai","2020","small","95.3","0","0","0","4.7","3844","241","218","361","234461"
"225","xxx","tianjin","2021","small","64","0","10.9","25.1","0","2942","495","135","872","56308"
"226","xxx","tianjin","2020","middle","1.9","0.5","52.3","0","45.3","3900","998","871","1431","270641"
"227","xxx","shandong","2017","small","62.4","0","28.4","0","9.3","1637","155","264","895","176657"
"228","xxx","hebei","2012","small","26.1","61.7","0","12.2","0","2287","188","213","893","227914"
"229","xxx","tianjin","2018","middle","0","100","0","0","0","4781","779","953","1006","405073"
"230","xxx","beijing","2021","middle","0","0","0","21.7","78.3","3293","987","688","646","574448"
"231","xxx","shanghai","2010","small","0","0","0","22.8","77.2","1266","265","145","309","214274"
"232","xxx","shandong","2021","middle","0","42.2","0","52.9","4.9","5749","763","850","939","470747"
"233","xxx","shanghai","2014","small","100","0","0","0","0","1010","138","220","589","156894"
"234","xxx","shanghai","2019","small","0","100","0","0","0","669","281","206","696","245627"
"235","xxx","shanghai","2013","small","26.8","0","0","37.2","36","1219","360","237","787","257015"
"236","xxx","tianjin","2018","small","75.6","0","0","0","24.4","1875","309","242","576","148811"
"237","xxx","shandong","2019","small","0","0","100","0","0","2857","201","273","536","266189"
"238","xxx","beijing","2016","middle","0","65.5","15.7","18.8","0","5228","707","768","633","345188"
"239","xxx","shanghai","2010","small","0","15.5","12.5","0","72","2724","195","285","986","288698"
"240","xxx","hebei","2019","small","0","17.2","51.9","30.9","0","2192","300","248","760","134122"
"241","xxx","shanghai","2017","small","0","89.7","0","10.3","0","832","444","218","506","171399"
"242","xxx","shanghai","2010","middle","36.7","19","19.9","24.4","0","5408","882","810","895","235671"
"243","xxx","tianjin","2012","middle","26.2","14.4","27.3","0","32.1","5753","807","836","763","490751"
"244","xxx","tianjin","2014","small","0","52.6","0","24.6","22.8","665","362","188","636","257977"
"245","xxx","shanghai","2014","middle","48.8","39.1","12.1","0","0","4609","993","735","1249","469114"
"246","xxx","hebei","2012","small","23.1","76.9","0","0","0","1882","235","145","481","216429"
"247","xxx","shanghai","2019","middle","0","0","0","100","0","3459","764","986","711","258910"
"248","xxx","hebei","2013","middle","39.4","40.2","3.8","16.5","0","4316","812","956","1409","543115"
"249","xxx","hebei","2015","small","0","0","61.5","38.5","0","1783","282","244","749","178822"
"250","xxx","shanghai","2018","small","43.6","3.4","53","0","0","1105","353","217","259","285313"
"251","xxx","beijing","2019","middle","6.1","22.8","8.5","21.8","40.9","4185","712","852","1299","587783"
"252","xxx","hebei","2019","small","0","33.2","66.8","0","0","1687","470","258","827","188361"
"253","xxx","tianjin","2018","middle","89.8","0","0","10.2","0","5542","820","841","1129","536975"
"254","xxx","hebei","2015","middle","49.8","12.3","0","11.1","26.8","5793","974","675","692","509748"
"255","xxx","shanghai","2021","small","0","49.9","37.6","1","11.5","1847","474","256","407","194204"
"256","xxx","shanghai","2012","small","57.1","0","0","0","42.9","2852","433","196","898","254689"
"257","xxx","tianjin","2012","middle","22.3","33.1","2","42.7","0","4728","813","874","1287","239002"
"258","xxx","shanghai","2020","small","0","100","0","0","0","2915","234","275","668","264243"
"259","xxx","hebei","2016","middle","69.9","0","30.1","0","0","4267","901","974","894","331583"
"260","xxx","shanghai","2016","middle","64.8","0","0","35.2","0","3720","934","839","1112","456622"
"261","xxx","tianjin","2013","middle","32.2","23.6","44.2","0","0","3637","994","671","845","595577"
"262","xxx","shanghai","2011","middle","0","74.5","0","25.5","0","3336","764","898","1208","527949"
"263","xxx","shanghai","2010","small","0","0","0","0","0","2977","343","247","299","177398"
"264","xxx","shanghai","2020","middle","10.1","0","71.1","14","4.8","5595","759","924","1475","324946"
"265","xxx","hebei","2014","middle","0","0","0","0","100","3577","835","908","843","554987"
"266","xxx","beijing","2015","small","36.9","47.5","3","0","12.5","2169","220","293","930","262666"
"267","xxx","hebei","2012","middle","0","100","0","0","0","4580","805","791","973","572536"
"268","xxx","hebei","2013","small","0","34.3","21.4","44.2","0","992","478","222","542","93640"
"269","xxx","shandong","2020","middle","0","27.4","48","24.6","0","5025","987","858","1187","530742"
"270","xxx","shanghai","2019","small","0","0","0","0","0","1400","159","296","478","90700"
"271","xxx","shanghai","2015","small","0","0","0","0","100","3062","231","237","331","204617"
"272","xxx","hebei","2017","middle","35.6","0","1.9","62.6","0","4690","889","756","1402","233212"
"273","xxx","beijing","2019","middle","1.9","18.7","10.9","68.5","0","4204","904","792","1446","486960"
"274","xxx","shandong","2011","small","84.6","0","0","15.4","0","3012","214","195","257","248688"
"275","xxx","hebei","2018","middle","0","0","26.1","0","73.9","5320","836","790","1222","395733"
"276","xxx","hebei","2017","middle","0","84.5","15.5","0","0","5397","789","887","506","355591"
"277","xxx","hebei","2011","middle","0","0","2.6","71.5","25.9","4127","908","784","513","322458"
"278","xxx","shanghai","2019","small","0","0","37.3","0","62.7","3815","378","177","646","102827"
"279","xxx","shanghai","2013","middle","0","0","0","0","100","3504","838","842","975","275689"
"280","xxx","tianjin","2013","small","0","0","0","83","17","2039","190","192","453","253091"
"281","xxx","shanghai","2013","small","0","37.5","0","25.5","36.9","3075","240","149","586","114595"
"282","xxx","shanghai","2015","small","52.3","0","47.7","0","0","3494","403","257","832","147402"
"283","xxx","tianjin","2011","middle","88.7","0","11.3","0","0","5373","789","772","638","366318"
"284","xxx","shanghai","2020","small","45.3","0","0","54.7","0","1815","435","249","657","230663"
"285","xxx","hebei","2021","small","8.6","16.8","0","42.8","31.8","2835","186","276","702","211959"
"286","xxx","hebei","2012","middle","0","0","100","0","0","4577","731","861","1403","498707"
"287","xxx","shanghai","2017","small","31.7","0","52.1","12.1","4.1","3601","497","128","670","114140"
"288","xxx","tianjin","2014","middle","29.3","11.1","0","55.3","4.2","5969","973","693","996","397442"
"289","xxx","tianjin","2012","small","44","51.1","0","4.8","0","2969","471","265","391","276341"
"290","xxx","hebei","2013","middle","7.3","44","0","48.7","0","3082","996","837","923","543799"
"291","xxx","hebei","2011","middle","0","44","29.3","8.6","18.1","3727","853","620","784","367623"
"292","xxx","tianjin","2016","small","0","0","0","100","0","3833","189","238","969","156671"
"293","xxx","shanghai","2015","middle","43.4","56.6","0","0","0","4167","890","885","500","502812"
"294","xxx","shanghai","2017","small","0","81.1","0","0","18.9","1363","470","285","455","281393"
"295","xxx","hebei","2014","small","0","19.9","54.6","16.1","9.4","891","161","143","902","155385"
"296","xxx","shanghai","2020","middle","0","59.7","25.7","14.6","0","4139","785","864","732","420265"
"297","xxx","hebei","2016","middle","27.7","0","69.2","3","0","4316","929","731","877","568791"
"298","xxx","hebei","2019","middle","0","3.9","0","96.1","0","4784","939","835","1247","565274"
"299","xxx","shandong","2017","small","71.4","0","0","0","28.6","1529","190","125","645","186998"
"300","xxx","tianjin","2015","middle","12.8","0","32.9","0","54.2","3320","827","892","1159","482530"
"301","xxx","beijing","2018","middle","0","0","0","100","0","5065","839","773","1194","515521"
"302","xxx","hebei","2020","small","45","0","39.1","15.9","0","1403","346","189","756","170334"
"303","xxx","tianjin","2012","small","2.4","59.7","0","0","38","1505","321","272","390","184305"
"304","xxx","shanghai","2016","middle","0","23.6","25.5","23.7","27.2","3868","909","972","821","329081"
"305","xxx","shanghai","2014","middle","15.4","23.7","13.5","47.4","0","4319","778","875","716","247481"
"306","xxx","hebei","2020","middle","79.2","5.6","0","0","15.2","3879","841","662","1091","573115"
"307","xxx","shanghai","2011","small","0","0","25.2","74.8","0","1314","214","261","629","277814"
"308","xxx","tianjin","2010","middle","20.7","6.4","0","72.9","0","3941","856","672","1272","247700"
"309","xxx","hebei","2016","middle","0","0","61.8","38.2","0","3853","848","645","714","496685"
"310","xxx","tianjin","2021","small","7.8","4.2","0","19","69","1893","489","155","235","278391"
